repository_name,issue_count
ant-design/ant-design,652
MetaMask/eth-phishing-detect,241
kubernetes/ingress-nginx,107
actions/runner-images,170
pingcap/tidb,482
Heroic-Games-Launcher/HeroicGamesLauncher,182
LunarVim/LunarVim,122
MetaMask/metamask-extension,238
GTNewHorizons/GT-New-Horizons-Modpack,422
beanshell/beanshell,148
Anuken/Mindustry-Suggestions,162
labring/sealos,105
brave/brave-browser,777
microsoft/vscode-cpptools,156
Ryujinx/Ryujinx,166
lwouis/alt-tab-macos,108
datahub-project/datahub,134
GoogleChrome/developer.chrome.com,160
Alderon-Games/pathoftitans-bugs,252
leerob/on-demand-isr,292
ant-media/Ant-Media-Server,109
syncfusion/flutter-widgets,118
Giveth/giveth-dapps-v2,106
transitive-bullshit/chatgpt-api,175
spring-projects/spring-boot,362
Crocoblock/suggestions,166
metersphere/metersphere,385
logseq/logseq,525
pgadmin-org/pgadmin4,120
NVIDIA/spark-rapids,146
hachyderm/community,166
espressif/arduino-esp32,100
bottlesdevs/Bottles,154
TheLastBen/fast-stable-diffusion,313
Esri/calcite-components,176
apache/arrow,260
AstroNvim/AstroNvim,107
microsoft/PowerToys,1016
mozilla-mobile/mozilla-vpn-client,233
Altinn/altinn-studio,152
trezor/trezor-suite,133
modin-project/modin,186
upbound/provider-aws,188
telegramdesktop/tdesktop,246
projectdiscovery/nuclei,122
aws-amplify/amplify-cli,109
Tencent/tdesign-miniprogram,170
vector-im/element-android,125
mwittrien/BetterDiscordAddons,101
polkadot-js/apps,123
owncast/owncast,129
Office-of-Digital-Services/California-State-Web-Template-Website,126
bounswe/bounswe2022group8,117
MaaAssistantArknights/MaaAssistantArknights,313
zephyrproject-rtos/zephyr,310
desktop/desktop,170
sveltejs/kit,249
dotnet/roslyn,270
tensorflow/tensorflow,441
obophenotype/human-phenotype-ontology,883
cockroachdb/cockroach,1621
bcgov/foi-flow,117
AdguardTeam/AdguardFilters,4950
dotCMS/core,674
Automattic/jetpack,172
microsoft/Microsoft365DSC,113
allegro/allegro-api,204
revanced/revanced-patches,293
Jarrrk/HighLife,226
SmartlyDressedGames/Unturned-3.x-Community,113
Clueless-Community/fintech-api,148
kyma-project/busola,134
brave/brave-ios,153
microsoft/ALAppExtensions,414
vegaprotocol/vega,202
